iter	RMSE
0	0.3750702764
1	0.356395086
2	0.3368415592
3	0.3190002547
4	0.3033033299
5	0.2892799104
6	0.2761828151
7	0.2648779063
8	0.2547036873
9	0.2450868911
10	0.2348473902
11	0.2262826661
12	0.2175251785
13	0.2105620565
14	0.2038429692
15	0.1983619802
16	0.1930730915
17	0.1882899311
18	0.1836129167
19	0.1790116756
20	0.174743724
21	0.1712218
22	0.1679069454
23	0.1647077477
24	0.1617352194
25	0.1589780075
26	0.1563002708
27	0.1537766704
28	0.1519014385
29	0.1496463414
30	0.1477387786
31	0.1459682821
32	0.1435603314
33	0.1420494282
34	0.1404282458
35	0.1389903764
36	0.1377223207
37	0.1360467562
38	0.1349286423
39	0.1335299552
40	0.1323027345
41	0.1309371858
42	0.1297521091
43	0.1286604929
44	0.1277629111
45	0.1268777936
46	0.1259168537
47	0.1250647276
48	0.1243464909
49	0.1234963529
50	0.1225147835
51	0.1220123364
52	0.121122582
53	0.1202956531
54	0.1197828073
55	0.1190840373
56	0.1183484912
57	0.1176044021
58	0.117069011
59	0.1165216274
60	0.1158141641
61	0.1152465406
62	0.1145824709
63	0.1139591631
64	0.1133540747
65	0.1127923441
66	0.1123173875
67	0.1119107299
68	0.1115605202
69	0.1110917529
70	0.1107330757
71	0.1101565024
72	0.109737814
73	0.1093050791
74	0.1089794282
75	0.1085198087
76	0.1079997379
77	0.1077310679
78	0.107316345
79	0.1069631721
80	0.106426122
81	0.1060073425
82	0.1057061076
83	0.1053800283
84	0.1049926383
85	0.104556836
86	0.1043237299
87	0.104065413
88	0.1037694104
89	0.1034098988
90	0.1030064869
91	0.1027352243
92	0.1023665639
93	0.1020825332
94	0.101721413
95	0.1013281063
96	0.1009981518
97	0.1006761587
98	0.1003674332
99	0.09999891984
100	0.09967343201
101	0.09941495098
102	0.09916675612
103	0.09886790908
104	0.09865314295
105	0.09842210698
106	0.09814379922
107	0.09796394244
108	0.09764990177
109	0.09739403578
110	0.09719823182
111	0.09682508272
112	0.09653140886
113	0.09624299984
114	0.09595889534
115	0.09567360995
116	0.09533417998
117	0.09504865483
118	0.09489679389
119	0.09458746014
120	0.09435034838
121	0.09414730188
122	0.09395269134
123	0.09378229016
124	0.09352468667
125	0.09328599395
126	0.09305155621
127	0.09280339276
128	0.09259008375
129	0.09234780919
130	0.09217026725
131	0.09200888964
132	0.09184480572
133	0.0917082642
134	0.09121937454
135	0.09097409105
136	0.09081821989
137	0.09067767676
138	0.09050752583
139	0.09039696094
140	0.09013142847
141	0.09003868368
142	0.08984764143
143	0.08970152174
144	0.08953656034
145	0.08904537177
146	0.08892886113
147	0.08876818144
148	0.08858506078
149	0.08833670882
150	0.08813048062
151	0.08788820312
152	0.08768308364
153	0.08752533568
154	0.08731035292
155	0.08723029336
156	0.08705280511
157	0.08689885464
158	0.08671543951
159	0.08647430196
160	0.08628868823
161	0.08602403166
162	0.0858839472
163	0.0857668275
164	0.08563821568
165	0.08534782063
166	0.08517092817
167	0.08501153985
168	0.08473124579
169	0.08463499001
170	0.08437543874
171	0.08426115655
172	0.08405926163
173	0.08389867641
174	0.08374647536
175	0.08364688047
176	0.08348053439
177	0.08335496442
178	0.08318415509
179	0.08298540827
180	0.08291310935
181	0.0827544214
182	0.08264346112
183	0.08238476417
184	0.08225839829
185	0.08211639645
186	0.08201705011
187	0.08192291223
188	0.08181793287
189	0.08171319514
190	0.08152532349
191	0.08133737064
192	0.08112941845
193	0.08097202546
194	0.08059872158
195	0.08048113396
196	0.08040306437
197	0.08016209436
198	0.08002429445
199	0.07994769778
200	0.07985861638
201	0.07967961623
202	0.07955777539
203	0.0793854832
204	0.07922124584
205	0.07912226816
206	0.07899133446
207	0.07881638761
208	0.07864763455
209	0.07846493743
210	0.07832917828
211	0.07818547554
212	0.07812332182
213	0.07796658364
214	0.07785538097
215	0.07776800757
216	0.07758667589
217	0.07751324239
218	0.07741146217
219	0.07728387057
220	0.07715026946
221	0.07705105528
222	0.0768817908
223	0.07676196035
224	0.07663268499
225	0.07652401422
226	0.07644769873
227	0.07624958124
228	0.07615055834
229	0.07600747738
230	0.07582179992
231	0.07549590756
232	0.07533500303
233	0.0752614849
234	0.0751479075
235	0.07505293924
236	0.07492194169
237	0.07481803802
238	0.07472385575
239	0.07465970681
240	0.07445809083
241	0.07426776388
242	0.07417450822
243	0.07408479806
244	0.07397794696
245	0.07387560463
246	0.07379975176
247	0.07366442328
248	0.07359366807
249	0.07346796519
250	0.07336297557
251	0.07328706339
252	0.07312353299
253	0.07303638417
254	0.07296018839
255	0.07288683847
256	0.07278442365
257	0.0726991906
258	0.07259513166
259	0.07248975237
260	0.07242925907
261	0.07233821333
262	0.07222751298
263	0.07214177628
264	0.07208536969
265	0.07183865738
266	0.07172885724
267	0.07151479102
268	0.07142675265
269	0.07133878659
270	0.07122843407
271	0.07114189076
272	0.07104886323
273	0.07098281763
274	0.07093463668
275	0.07080492992
276	0.07068812085
277	0.07058551807
278	0.07042765503
279	0.07028858598
280	0.07019981434
281	0.07006388008
282	0.06997962217
283	0.06987263052
284	0.06981120095
285	0.06972074292
286	0.06957090672
287	0.06913695437
288	0.06901606918
289	0.06892312826
290	0.06886069298
291	0.06873689221
292	0.06863176247
293	0.06855780594
294	0.06849125656
295	0.06836340577
296	0.06824552362
297	0.06812748697
298	0.06802496042
299	0.06792835836
300	0.06785640553
301	0.06779984497
302	0.06771275306
303	0.06748782034
304	0.06740180273
305	0.06731811768
306	0.06725172286
307	0.06713584955
308	0.06708329042
309	0.06701136999
310	0.06691937024
311	0.06688873719
312	0.06681598113
313	0.06677492946
314	0.06663592806
315	0.06656075756
316	0.06649555142
317	0.06641360667
318	0.06637319208
319	0.06633807253
320	0.06624380191
321	0.06617283514
322	0.06611286841
323	0.06601142793
324	0.06589503632
325	0.06578302018
326	0.0657064479
327	0.06563500913
328	0.06553786811
329	0.0654643928
330	0.0653862068
331	0.06528290724
332	0.06525592369
333	0.06515237309
334	0.06506009854
335	0.06495192627
336	0.06489229997
337	0.06482146694
338	0.0647676081
339	0.06455989727
340	0.06452592102
341	0.06446409655
342	0.06440285353
343	0.06432884137
344	0.06424734022
345	0.0641979007
346	0.06411396278
347	0.06399585866
348	0.06390495575
349	0.06381905576
350	0.0636368163
351	0.06359205652
352	0.06344369084
353	0.06337790552
354	0.06328395876
355	0.06318260642
356	0.06311713843
357	0.06305686626
358	0.0629400689
359	0.06285591973
360	0.06271624408
361	0.06260215651
362	0.06252700815
363	0.0624539362
364	0.06236944423
365	0.06219746683
366	0.06213741156
367	0.06206116988
368	0.06194194772
369	0.06184457386
370	0.06175615795
371	0.06168657977
372	0.06160173519
373	0.06149829778
374	0.06136868729
375	0.06128990463
376	0.06126375954
377	0.06116032475
378	0.06107218729
379	0.06097604581
380	0.06085163567
381	0.06078662448
382	0.06069878192
383	0.06061909483
384	0.06059420057
385	0.0605532919
386	0.06046656329
387	0.06040650374
388	0.06034711231
389	0.0602823671
390	0.06024756012
391	0.0602147356
392	0.06014326405
393	0.06010049579
394	0.06004802446
395	0.06000636085
396	0.05997883564
397	0.05989687452
398	0.05981009673
399	0.05969623231
400	0.05961920971
401	0.05954580598
402	0.0594499524
403	0.0593982984
404	0.05937548307
405	0.05922912954
406	0.05916723475
407	0.05914283263
408	0.05909141684
409	0.05902772393
410	0.05893073629
411	0.0588539328
412	0.05875790677
413	0.0586912916
414	0.05857283247
415	0.05848336576
416	0.0584052797
417	0.05834815952
418	0.05831036471
419	0.05822540543
420	0.05819542302
421	0.05815394098
422	0.05802692604
423	0.05793936813
424	0.05785420703
425	0.05776982593
426	0.05768911221
427	0.05763535538
428	0.0575871001
429	0.05752227165
430	0.05744927027
431	0.05736747422
432	0.0573163347
433	0.05723951592
434	0.05717251272
435	0.05687593264
436	0.05682441111
437	0.05680250444
438	0.05670786887
439	0.05666120716
440	0.05654082549
441	0.05649566069
442	0.05644378496
443	0.05636202878
444	0.05631363214
445	0.05624279508
446	0.05618758871
447	0.05612499368
448	0.05608613181
449	0.05598774721
450	0.05589824188
451	0.05581728573
452	0.05575225563
453	0.05573125475
454	0.05569738635
455	0.05563211402
456	0.05558334419
457	0.05552177289
458	0.05543363515
459	0.05539077224
460	0.05531812058
461	0.05526069186
462	0.05515732493
463	0.05509735789
464	0.05503264837
465	0.05492911141
466	0.05488436102
467	0.05481045887
468	0.05473872823
469	0.05469134007
470	0.05461205161
471	0.05454125137
472	0.0544567068
473	0.05433717812
474	0.05428279127
475	0.05426033032
476	0.05418777372
477	0.05411905844
478	0.05404010837
479	0.05400532198
480	0.0539130117
481	0.05387754717
482	0.05386157656
483	0.05378062375
484	0.05371481132
485	0.05362258526
486	0.05357733259
487	0.05355824321
488	0.05352146951
489	0.05346241612
490	0.05343696002
491	0.05338083877
492	0.05328825069
493	0.05322868095
494	0.05318030952
495	0.0531552898
496	0.0530636684
497	0.05300107761
498	0.05292061981
499	0.05286439601
